source_sheet,source_group,area_code,area_name,device_code,device_name,device_type,point_code,point_name,data_type,unit,address,access_mode,scale_value,sort_order,io_module,io_type,modbus_type,sixnet_address,iconics_path,remark
1-4#主机,ZJ14,AREA-JDH-ZJ,金斗河主机区,DEV-ZJ4,4#主机,水泵,DI_ZJ4_YX,4#主机运行,BOOLEAN,,1,R,1,10,DI1,DI,1,0,\Address Space\ZJ14\DI,上位机读
1-4#主机,ZJ14,AREA-JDH-ZJ,金斗河主机区,DEV-ZJ4,4#主机,水泵,DI_ZJ4_HZ,4#主机电源合闸,BOOLEAN,,2,R,1,11,DI1,DI,1,1,\Address Space\ZJ14\DI,上位机读
1-4#主机,ZJ14,AREA-JDH-ZJ,金斗河主机区,DEV-ZJ4,4#主机,水泵,DI_ZJ4_GZ,4#主机故障,BOOLEAN,,3,R,1,12,DI1,DI,1,2,\Address Space\ZJ14\DI,上位机读
1-4#主机,ZJ14,AREA-JDH-ZJ,金斗河主机区,DEV-ZJ4,4#主机,水泵,DI_ZJ4_XD,4#主机现地,BOOLEAN,,4,R,1,13,DI1,DI,1,3,\Address Space\ZJ14\DI,上位机读
1-4#主机,ZJ14,AREA-JDH-ZJ,金斗河主机区,DEV-ZJ4,4#主机,水泵,DI_ZJ4_YC,4#主机远方,BOOLEAN,,5,R,1,14,DI1,DI,1,4,\Address Space\ZJ14\DI,上位机读
1-4#主机,ZJ14,AREA-JDH-ZJ,金斗河主机区,DEV-ZJ3,3#主机,水泵,DI_ZJ3_YX,3#主机运行,BOOLEAN,,7,R,1,15,DI1,DI,1,6,\Address Space\ZJ14\DI,上位机读
1-4#主机,ZJ14,AREA-JDH-ZJ,金斗河主机区,DEV-ZJ3,3#主机,水泵,DI_ZJ3_HZ,3#主机电源合闸,BOOLEAN,,8,R,1,16,DI1,DI,1,7,\Address Space\ZJ14\DI,上位机读
1-4#主机,ZJ14,AREA-JDH-ZJ,金斗河主机区,DEV-ZJ3,3#主机,水泵,DI_ZJ3_GZ,3#主机故障,BOOLEAN,,9,R,1,17,DI1,DI,1,8,\Address Space\ZJ14\DI,上位机读
1-4#主机,ZJ14,AREA-JDH-ZJ,金斗河主机区,DEV-ZJ3,3#主机,水泵,DI_ZJ3_XD,3#主机现地,BOOLEAN,,10,R,1,18,DI1,DI,1,9,\Address Space\ZJ14\DI,上位机读
1-4#主机,ZJ14,AREA-JDH-ZJ,金斗河主机区,DEV-ZJ3,3#主机,水泵,DI_ZJ3_YC,3#主机远方,BOOLEAN,,11,R,1,19,DI1,DI,1,10,\Address Space\ZJ14\DI,上位机读
1-4#主机,ZJ14,AREA-JDH-ZJ,金斗河主机区,DEV-ZJ2,2#主机,水泵,DI_ZJ2_YX,2#主机运行,BOOLEAN,,13,R,1,20,DI1,DI,1,12,\Address Space\ZJ14\DI,上位机读
1-4#主机,ZJ14,AREA-JDH-ZJ,金斗河主机区,DEV-ZJ2,2#主机,水泵,DI_ZJ2_HZ,2#主机电源合闸,BOOLEAN,,14,R,1,21,DI1,DI,1,13,\Address Space\ZJ14\DI,上位机读
1-4#主机,ZJ14,AREA-JDH-ZJ,金斗河主机区,DEV-ZJ2,2#主机,水泵,DI_ZJ2_GZ,2#主机故障,BOOLEAN,,15,R,1,22,DI1,DI,1,14,\Address Space\ZJ14\DI,上位机读
1-4#主机,ZJ14,AREA-JDH-ZJ,金斗河主机区,DEV-ZJ2,2#主机,水泵,DI_ZJ2_XD,2#主机现地,BOOLEAN,,16,R,1,23,DI1,DI,1,15,\Address Space\ZJ14\DI,上位机读
1-4#主机,ZJ14,AREA-JDH-ZJ,金斗河主机区,DEV-ZJ1,1#主机,水泵,DI_ZJ1_YX,1#主机运行,BOOLEAN,,19,R,1,24,DI1,DI,1,18,\Address Space\ZJ14\DI,上位机读
1-4#主机,ZJ14,AREA-JDH-ZJ,金斗河主机区,DEV-ZJ1,1#主机,水泵,DI_ZJ1_HZ,1#主机电源合闸,BOOLEAN,,20,R,1,25,DI1,DI,1,19,\Address Space\ZJ14\DI,上位机读
